iter	Logloss
0	0.5821348292
1	0.4780146938
2	0.3988596284
3	0.3388794079
4	0.284401534
5	0.242464086
6	0.2066973882
7	0.1828307806
8	0.1563428144
9	0.1345302323
10	0.1160509166
11	0.1049227782
12	0.091288071
13	0.08085216946
14	0.07300118453
15	0.06293936279
16	0.05631616057
17	0.05191822739
18	0.04659169486
19	0.04244952378
20	0.03907815014
21	0.03472819838
22	0.03202378325
23	0.02958225207
24	0.02725902352
25	0.02467377183
26	0.0220755363
27	0.02052410499
28	0.01883517451
29	0.01775277586
30	0.01678044048
31	0.01590132431
32	0.01487653686
33	0.01397145425
34	0.01315886855
35	0.01268784155
36	0.01221503472
37	0.0112843451
38	0.01077712141
39	0.01009496495
40	0.009649356275
41	0.0093189668
42	0.008837139229
43	0.008488026101
44	0.008094978578
45	0.007830226789
46	0.00752601176
47	0.00728802241
48	0.006961743326
49	0.006790002341
50	0.006568670801
51	0.006281874958
52	0.006132166734
53	0.005948657564
54	0.00586322309
55	0.005748924738
56	0.005622289608
57	0.005440080114
58	0.0053746419
59	0.005208708303
60	0.005080232012
61	0.004879723473
62	0.004745732229
63	0.004638996833
64	0.004497916902
65	0.004360013002
66	0.004272382945
67	0.004106209842
68	0.004016506021
69	0.003913517254
70	0.003781433092
71	0.003719010532
72	0.00362077217
73	0.003573480392
74	0.003525329499
75	0.003477792548
76	0.003381426154
77	0.003314416903
78	0.003267496664
79	0.003197420407
80	0.003167053145
81	0.003101075832
82	0.003037175083
83	0.00301154678
84	0.002966615602
85	0.002933195187
86	0.002899046454
87	0.002826414778
88	0.002779057488
89	0.002699133359
90	0.002656330026
91	0.002636366335
92	0.002602502381
93	0.002583622416
94	0.002559875863
95	0.002530717356
96	0.002498195364
97	0.002467622259
98	0.002443790532
99	0.002384965461
